Ciclo 1: {'Temperatura': 20.13, 'Umidade': 58.15, 'Pressao': 1006.4}
Ciclo 57: {'Temperatura': 26.59, 'Umidade': 43.54, 'Pressao': 1008.94}
Ciclo 58: {'Temperatura': 21.79, 'Umidade': 47.75, 'Pressao': 1003.59}
Ciclo 59: {'Temperatura': 26.61, 'Umidade': 48.99, 'Pressao': 1016.78}
Ciclo 60: {'Temperatura': 21.63, 'Umidade': 59.55, 'Pressao': 1018.62}
Ciclo 61: {'Temperatura': 29.81, 'Umidade': 48.66, 'Pressao': 1009.66}
Ciclo 62: {'Temperatura': 26.92, 'Umidade': 48.42, 'Pressao': 1018.01}
Ciclo 63: {'Temperatura': 26.0, 'Umidade': 49.38, 'Pressao': 1007.18}
Ciclo 64: {'Temperatura': 29.73, 'Umidade': 40.12, 'Pressao': 1013.79}
Ciclo 65: {'Temperatura': 28.94, 'Umidade': 58.43, 'Pressao': 1019.79}
Ciclo 66: {'Temperatura': 27.01, 'Umidade': 50.62, 'Pressao': 1019.96}
Ciclo 67: {'Temperatura': 21.03, 'Umidade': 53.59, 'Pressao': 1000.38}
Ciclo 68: {'Temperatura': 23.27, 'Umidade': 56.14, 'Pressao': 1019.52}
Ciclo 69: {'Temperatura': 21.72, 'Umidade': 55.53, 'Pressao': 1004.38}
Ciclo 70: {'Temperatura': 27.69, 'Umidade': 53.32, 'Pressao': 1015.98}
Ciclo 71: {'Temperatura': 20.39, 'Umidade': 57.55, 'Pressao': 1011.38}
Ciclo 72: {'Temperatura': 25.14, 'Umidade': 53.47, 'Pressao': 1014.36}
Ciclo 73: {'Temperatura': 20.13, 'Umidade': 43.84, 'Pressao': 1009.26}
Ciclo 74: {'Temperatura': 24.95, 'Umidade': 58.24, 'Pressao': 1003.28}
Ciclo 75: {'Temperatura': 21.15, 'Umidade': 56.2, 'Pressao': 1011.26}
Ciclo 76: {'Temperatura': 26.33, 'Umidade': 45.37, 'Pressao': 1001.4}
Ciclo 77: {'Temperatura': 22.15, 'Umidade': 44.53, 'Pressao': 1002.29}
Ciclo 78: {'Temperatura': 21.28, 'Umidade': 58.21, 'Pressao': 1014.33}
Ciclo 79: {'Temperatura': 26.16, 'Umidade': 44.53, 'Pressao': 1011.27}
Ciclo 80: {'Temperatura': 24.93, 'Umidade': 56.8, 'Pressao': 1018.86}
Ciclo 81: {'Temperatura': 25.5, 'Umidade': 56.74, 'Pressao': 1014.51}
Ciclo 82: {'Temperatura': 25.45, 'Umidade': 54.2, 'Pressao': 1003.75}
Ciclo 83: {'Temperatura': 28.9, 'Umidade': 40.27, 'Pressao': 1015.03}
Ciclo 84: {'Temperatura': 28.08, 'Umidade': 44.64, 'Pressao': 1010.32}
Ciclo 85: {'Temperatura': 27.89, 'Umidade': 57.02, 'Pressao': 1000.06}
Ciclo 86: {'Temperatura': 23.47, 'Umidade': 57.93, 'Pressao': 1006.62}
Ciclo 87: {'Temperatura': 28.26, 'Umidade': 46.04, 'Pressao': 1011.09}
Ciclo 88: {'Temperatura': 20.68, 'Umidade': 54.18, 'Pressao': 1005.15}
Ciclo 89: {'Temperatura': 23.75, 'Umidade': 51.14, 'Pressao': 1001.1}
Ciclo 90: {'Temperatura': 20.21, 'Umidade': 48.06, 'Pressao': 1016.65}
Ciclo 91: {'Temperatura': 24.64, 'Umidade': 43.25, 'Pressao': 1009.98}
Ciclo 92: {'Temperatura': 29.6, 'Umidade': 51.26, 'Pressao': 1007.77}
Ciclo 93: {'Temperatura': 29.32, 'Umidade': 58.54, 'Pressao': 1009.44}
Ciclo 94: {'Temperatura': 22.46, 'Umidade': 56.97, 'Pressao': 1010.8}
Ciclo 95: {'Temperatura': 20.17, 'Umidade': 40.13, 'Pressao': 1015.99}
Ciclo 96: {'Temperatura': 22.05, 'Umidade': 44.19, 'Pressao': 1010.39}
Ciclo 97: {'Temperatura': 28.66, 'Umidade': 59.37, 'Pressao': 1014.67}
Ciclo 98: {'Temperatura': 20.96, 'Umidade': 58.36, 'Pressao': 1009.85}
Ciclo 99: {'Temperatura': 26.74, 'Umidade': 47.37, 'Pressao': 1008.01}
Ciclo 100: {'Temperatura': 29.5, 'Umidade': 54.35, 'Pressao': 1003.82}
Ciclo 101: {'Temperatura': 27.91, 'Umidade': 54.1, 'Pressao': 1017.55}
Ciclo 102: {'Temperatura': 29.28, 'Umidade': 42.68, 'Pressao': 1019.12}
Ciclo 103: {'Temperatura': 26.91, 'Umidade': 51.41, 'Pressao': 1013.8}
Ciclo 104: {'Temperatura': 22.9, 'Umidade': 56.2, 'Pressao': 1017.99}
Ciclo 105: {'Temperatura': 20.19, 'Umidade': 48.92, 'Pressao': 1013.16}
Ciclo 106: {'Temperatura': 27.37, 'Umidade': 56.52, 'Pressao': 1009.01}
Ciclo 107: {'Temperatura': 27.82, 'Umidade': 52.44, 'Pressao': 1006.17}
Ciclo 108: {'Temperatura': 20.22, 'Umidade': 51.92, 'Pressao': 1000.82}
Ciclo 109: {'Temperatura': 20.57, 'Umidade': 43.07, 'Pressao': 1014.84}
Ciclo 110: {'Temperatura': 29.51, 'Umidade': 49.87, 'Pressao': 1003.58}
Ciclo 111: {'Temperatura': 25.59, 'Umidade': 58.07, 'Pressao': 1016.98}
Ciclo 112: {'Temperatura': 20.11, 'Umidade': 41.58, 'Pressao': 1007.71}
Ciclo 113: {'Temperatura': 27.0, 'Umidade': 41.78, 'Pressao': 1017.33}
Ciclo 114: {'Temperatura': 25.15, 'Umidade': 48.9, 'Pressao': 1008.19}
Ciclo 115: {'Temperatura': 20.95, 'Umidade': 49.36, 'Pressao': 1002.27}
Ciclo 116: {'Temperatura': 26.97, 'Umidade': 40.0, 'Pressao': 1006.98}
Ciclo 117: {'Temperatura': 24.9, 'Umidade': 45.58, 'Pressao': 1014.35}
Ciclo 118: {'Temperatura': 28.12, 'Umidade': 49.93, 'Pressao': 1014.53}
Ciclo 119: {'Temperatura': 21.06, 'Umidade': 59.18, 'Pressao': 1015.25}
Ciclo 120: {'Temperatura': 21.47, 'Umidade': 55.06, 'Pressao': 1007.76}
Ciclo 121: {'Temperatura': 29.34, 'Umidade': 58.51, 'Pressao': 1019.55}
Ciclo 122: {'Temperatura': 27.87, 'Umidade': 55.25, 'Pressao': 1006.61}
Ciclo 123: {'Temperatura': 26.56, 'Umidade': 42.46, 'Pressao': 1016.25}
Ciclo 124: {'Temperatura': 24.07, 'Umidade': 54.41, 'Pressao': 1017.11}
Ciclo 125: {'Temperatura': 26.63, 'Umidade': 52.63, 'Pressao': 1016.59}
Ciclo 126: {'Temperatura': 22.74, 'Umidade': 45.61, 'Pressao': 1012.98}
Ciclo 127: {'Temperatura': 29.46, 'Umidade': 56.78, 'Pressao': 1010.6}
Ciclo 128: {'Temperatura': 26.27, 'Umidade': 55.4, 'Pressao': 1003.19}
Ciclo 129: {'Temperatura': 28.46, 'Umidade': 40.01, 'Pressao': 1011.91}
Ciclo 130: {'Temperatura': 23.08, 'Umidade': 50.12, 'Pressao': 1017.9}
Ciclo 131: {'Temperatura': 26.06, 'Umidade': 46.57, 'Pressao': 1017.01}
Ciclo 132: {'Temperatura': 22.65, 'Umidade': 57.96, 'Pressao': 1015.09}
Ciclo 133: {'Temperatura': 20.06, 'Umidade': 43.66, 'Pressao': 1007.16}
Ciclo 134: {'Temperatura': 27.51, 'Umidade': 43.65, 'Pressao': 1018.09}
Ciclo 135: {'Temperatura': 28.63, 'Umidade': 43.27, 'Pressao': 1016.84}
Ciclo 136: {'Temperatura': 27.67, 'Umidade': 49.15, 'Pressao': 1005.48}
Ciclo 137: {'Temperatura': 27.43, 'Umidade': 46.06, 'Pressao': 1005.6}
Ciclo 138: {'Temperatura': 28.7, 'Umidade': 50.43, 'Pressao': 1007.31}
Ciclo 139: {'Temperatura': 27.81, 'Umidade': 51.42, 'Pressao': 1001.75}
Ciclo 140: {'Temperatura': 20.53, 'Umidade': 46.61, 'Pressao': 1003.99}
Ciclo 141: {'Temperatura': 23.82, 'Umidade': 54.96, 'Pressao': 1002.55}
Ciclo 142: {'Temperatura': 24.99, 'Umidade': 59.69, 'Pressao': 1016.34}
Ciclo 143: {'Temperatura': 20.68, 'Umidade': 59.35, 'Pressao': 1019.36}
Ciclo 144: {'Temperatura': 22.2, 'Umidade': 41.85, 'Pressao': 1007.25}
Ciclo 145: {'Temperatura': 24.99, 'Umidade': 51.2, 'Pressao': 1000.31}
Ciclo 146: {'Temperatura': 25.99, 'Umidade': 41.52, 'Pressao': 1012.94}
Ciclo 147: {'Temperatura': 21.14, 'Umidade': 51.14, 'Pressao': 1010.14}
Ciclo 148: {'Temperatura': 23.49, 'Umidade': 54.33, 'Pressao': 1018.41}
Ciclo 149: {'Temperatura': 26.73, 'Umidade': 54.76, 'Pressao': 1016.88}
Ciclo 150: {'Temperatura': 27.81, 'Umidade': 50.74, 'Pressao': 1005.24}
Ciclo 151: {'Temperatura': 27.04, 'Umidade': 51.92, 'Pressao': 1001.78}
Ciclo 152: {'Temperatura': 20.06, 'Umidade': 49.51, 'Pressao': 1014.91}
Ciclo 153: {'Temperatura': 25.73, 'Umidade': 49.48, 'Pressao': 1013.11}
Ciclo 154: {'Temperatura': 29.41, 'Umidade': 46.11, 'Pressao': 1010.64}
Ciclo 155: {'Temperatura': 29.06, 'Umidade': 51.34, 'Pressao': 1009.56}
Ciclo 156: {'Temperatura': 20.84, 'Umidade': 42.99, 'Pressao': 1018.37}
Ciclo 157: {'Temperatura': 28.6, 'Umidade': 51.88, 'Pressao': 1007.28}
Ciclo 158: {'Temperatura': 29.81, 'Umidade': 47.9, 'Pressao': 1010.28}
Ciclo 159: {'Temperatura': 23.97, 'Umidade': 42.05, 'Pressao': 1002.28}
Ciclo 160: {'Temperatura': 22.56, 'Umidade': 43.64, 'Pressao': 1000.5}
Ciclo 161: {'Temperatura': 20.12, 'Umidade': 56.73, 'Pressao': 1001.4}
Ciclo 162: {'Temperatura': 23.08, 'Umidade': 42.39, 'Pressao': 1012.48}
Ciclo 163: {'Temperatura': 29.64, 'Umidade': 46.98, 'Pressao': 1007.45}
Ciclo 164: {'Temperatura': 25.44, 'Umidade': 40.15, 'Pressao': 1011.38}
Ciclo 165: {'Temperatura': 24.68, 'Umidade': 59.49, 'Pressao': 1009.28}
Ciclo 166: {'Temperatura': 29.94, 'Umidade': 47.05, 'Pressao': 1015.16}
Ciclo 167: {'Temperatura': 26.03, 'Umidade': 50.06, 'Pressao': 1013.97}
Ciclo 168: {'Temperatura': 29.85, 'Umidade': 55.65, 'Pressao': 1014.45}
Ciclo 169: {'Temperatura': 21.87, 'Umidade': 56.33, 'Pressao': 1019.22}
Ciclo 170: {'Temperatura': 27.17, 'Umidade': 51.63, 'Pressao': 1012.04}
Ciclo 171: {'Temperatura': 24.3, 'Umidade': 56.43, 'Pressao': 1010.46}
Ciclo 172: {'Temperatura': 24.89, 'Umidade': 47.78, 'Pressao': 1005.45}
Ciclo 173: {'Temperatura': 27.97, 'Umidade': 46.6, 'Pressao': 1017.66}
Ciclo 174: {'Temperatura': 26.02, 'Umidade': 53.66, 'Pressao': 1000.8}
Ciclo 175: {'Temperatura': 28.75, 'Umidade': 40.66, 'Pressao': 1013.94}
Ciclo 176: {'Temperatura': 23.09, 'Umidade': 43.82, 'Pressao': 1014.1}
Ciclo 177: {'Temperatura': 25.15, 'Umidade': 51.27, 'Pressao': 1019.03}
Ciclo 178: {'Temperatura': 26.12, 'Umidade': 47.46, 'Pressao': 1005.5}
Ciclo 179: {'Temperatura': 24.18, 'Umidade': 55.66, 'Pressao': 1005.14}
Ciclo 180: {'Temperatura': 25.16, 'Umidade': 46.13, 'Pressao': 1015.95}
Ciclo 181: {'Temperatura': 21.29, 'Umidade': 49.47, 'Pressao': 1006.03}
Ciclo 182: {'Temperatura': 23.59, 'Umidade': 40.02, 'Pressao': 1019.07}
Ciclo 183: {'Temperatura': 21.01, 'Umidade': 43.52, 'Pressao': 1009.96}
Ciclo 184: {'Temperatura': 22.58, 'Umidade': 43.26, 'Pressao': 1006.14}
Ciclo 185: {'Temperatura': 27.82, 'Umidade': 50.51, 'Pressao': 1011.46}
Ciclo 186: {'Temperatura': 21.56, 'Umidade': 41.72, 'Pressao': 1013.17}
Ciclo 187: {'Temperatura': 25.33, 'Umidade': 46.13, 'Pressao': 1008.3}
Ciclo 188: {'Temperatura': 20.22, 'Umidade': 54.97, 'Pressao': 1006.25}
Ciclo 189: {'Temperatura': 20.35, 'Umidade': 41.51, 'Pressao': 1002.5}
Ciclo 190: {'Temperatura': 24.57, 'Umidade': 52.47, 'Pressao': 1003.3}
Ciclo 191: {'Temperatura': 22.14, 'Umidade': 50.18, 'Pressao': 1015.45}
Ciclo 192: {'Temperatura': 21.84, 'Umidade': 55.34, 'Pressao': 1005.58}
Ciclo 193: {'Temperatura': 24.2, 'Umidade': 59.3, 'Pressao': 1012.34}
Ciclo 194: {'Temperatura': 28.05, 'Umidade': 43.76, 'Pressao': 1000.58}
Ciclo 195: {'Temperatura': 26.45, 'Umidade': 49.79, 'Pressao': 1008.29}
Ciclo 196: {'Temperatura': 27.97, 'Umidade': 52.48, 'Pressao': 1005.37}
Ciclo 197: {'Temperatura': 23.49, 'Umidade': 49.51, 'Pressao': 1004.25}
Ciclo 198: {'Temperatura': 29.0, 'Umidade': 47.01, 'Pressao': 1003.35}
Ciclo 199: {'Temperatura': 21.6, 'Umidade': 49.53, 'Pressao': 1013.61}
Ciclo 200: {'Temperatura': 20.21, 'Umidade': 49.2, 'Pressao': 1010.83}
Ciclo 201: {'Temperatura': 24.65, 'Umidade': 48.49, 'Pressao': 1002.04}
Ciclo 202: {'Temperatura': 26.78, 'Umidade': 43.1, 'Pressao': 1008.5}
Ciclo 203: {'Temperatura': 22.39, 'Umidade': 53.91, 'Pressao': 1009.75}
Ciclo 204: {'Temperatura': 27.37, 'Umidade': 52.4, 'Pressao': 1015.63}
Ciclo 205: {'Temperatura': 28.42, 'Umidade': 43.92, 'Pressao': 1006.0}
Ciclo 206: {'Temperatura': 22.75, 'Umidade': 58.27, 'Pressao': 1017.59}
Ciclo 207: {'Temperatura': 25.05, 'Umidade': 40.24, 'Pressao': 1002.62}
Ciclo 208: {'Temperatura': 26.14, 'Umidade': 47.65, 'Pressao': 1014.42}
Ciclo 209: {'Temperatura': 23.8, 'Umidade': 40.28, 'Pressao': 1013.9}
Ciclo 210: {'Temperatura': 22.28, 'Umidade': 57.03, 'Pressao': 1006.27}
Ciclo 211: {'Temperatura': 24.31, 'Umidade': 47.84, 'Pressao': 1001.07}
Ciclo 212: {'Temperatura': 25.84, 'Umidade': 56.45, 'Pressao': 1003.53}
Ciclo 213: {'Temperatura': 23.26, 'Umidade': 46.16, 'Pressao': 1003.33}
Ciclo 214: {'Temperatura': 26.75, 'Umidade': 50.2, 'Pressao': 1006.22}
Ciclo 215: {'Temperatura': 28.55, 'Umidade': 41.84, 'Pressao': 1014.54}
Ciclo 216: {'Temperatura': 26.56, 'Umidade': 59.84, 'Pressao': 1019.4}
Ciclo 217: {'Temperatura': 20.91, 'Umidade': 59.46, 'Pressao': 1013.65}
Ciclo 218: {'Temperatura': 24.4, 'Umidade': 52.08, 'Pressao': 1010.05}
Ciclo 219: {'Temperatura': 24.96, 'Umidade': 55.84, 'Pressao': 1000.81}
Ciclo 220: {'Temperatura': 24.15, 'Umidade': 46.26, 'Pressao': 1012.18}
Ciclo 221: {'Temperatura': 21.86, 'Umidade': 53.02, 'Pressao': 1008.72}
Ciclo 222: {'Temperatura': 26.25, 'Umidade': 55.81, 'Pressao': 1007.36}
Ciclo 223: {'Temperatura': 21.54, 'Umidade': 46.17, 'Pressao': 1019.72}
Ciclo 224: {'Temperatura': 24.99, 'Umidade': 52.73, 'Pressao': 1013.87}
Ciclo 225: {'Temperatura': 21.28, 'Umidade': 48.74, 'Pressao': 1005.15}
Ciclo 226: {'Temperatura': 23.89, 'Umidade': 56.73, 'Pressao': 1002.72}
Ciclo 227: {'Temperatura': 29.59, 'Umidade': 46.5, 'Pressao': 1004.95}
Ciclo 228: {'Temperatura': 27.8, 'Umidade': 58.12, 'Pressao': 1012.85}
Ciclo 229: {'Temperatura': 21.2, 'Umidade': 48.35, 'Pressao': 1016.38}
Ciclo 230: {'Temperatura': 25.42, 'Umidade': 40.75, 'Pressao': 1008.7}
Ciclo 231: {'Temperatura': 25.43, 'Umidade': 52.94, 'Pressao': 1013.9}
Ciclo 232: {'Temperatura': 21.29, 'Umidade': 53.77, 'Pressao': 1004.34}
Ciclo 233: {'Temperatura': 21.76, 'Umidade': 46.01, 'Pressao': 1012.86}
Ciclo 234: {'Temperatura': 27.12, 'Umidade': 40.37, 'Pressao': 1006.8}
Ciclo 235: {'Temperatura': 25.68, 'Umidade': 46.22, 'Pressao': 1019.2}
Ciclo 236: {'Temperatura': 29.99, 'Umidade': 40.47, 'Pressao': 1014.06}
Ciclo 237: {'Temperatura': 21.17, 'Umidade': 54.18, 'Pressao': 1003.45}
Ciclo 238: {'Temperatura': 25.27, 'Umidade': 59.25, 'Pressao': 1007.74}
Ciclo 239: {'Temperatura': 27.4, 'Umidade': 58.91, 'Pressao': 1018.44}
Ciclo 240: {'Temperatura': 23.68, 'Umidade': 44.32, 'Pressao': 1007.23}
Ciclo 241: {'Temperatura': 20.65, 'Umidade': 53.75, 'Pressao': 1005.58}
Ciclo 242: {'Temperatura': 22.53, 'Umidade': 51.13, 'Pressao': 1003.71}
Ciclo 243: {'Temperatura': 23.43, 'Umidade': 44.23, 'Pressao': 1005.13}
Ciclo 244: {'Temperatura': 20.1, 'Umidade': 46.37, 'Pressao': 1009.12}
Ciclo 245: {'Temperatura': 24.01, 'Umidade': 50.96, 'Pressao': 1009.92}
Ciclo 246: {'Temperatura': 24.02, 'Umidade': 48.47, 'Pressao': 1005.57}
Ciclo 247: {'Temperatura': 23.32, 'Umidade': 48.92, 'Pressao': 1001.35}
Ciclo 248: {'Temperatura': 26.19, 'Umidade': 48.48, 'Pressao': 1002.63}
Ciclo 249: {'Temperatura': 25.3, 'Umidade': 52.67, 'Pressao': 1013.94}
Ciclo 250: {'Temperatura': 26.1, 'Umidade': 48.21, 'Pressao': 1000.21}
Ciclo 251: {'Temperatura': 24.18, 'Umidade': 45.83, 'Pressao': 1010.48}
Ciclo 252: {'Temperatura': 22.61, 'Umidade': 47.0, 'Pressao': 1016.22}
Ciclo 253: {'Temperatura': 29.95, 'Umidade': 47.84, 'Pressao': 1002.39}
Ciclo 254: {'Temperatura': 25.44, 'Umidade': 48.28, 'Pressao': 1006.19}
Ciclo 255: {'Temperatura': 26.51, 'Umidade': 54.38, 'Pressao': 1011.49}
Ciclo 256: {'Temperatura': 29.64, 'Umidade': 42.33, 'Pressao': 1004.77}
Ciclo 257: {'Temperatura': 27.46, 'Umidade': 53.02, 'Pressao': 1017.33}
Ciclo 258: {'Temperatura': 25.49, 'Umidade': 46.59, 'Pressao': 1013.99}
Ciclo 259: {'Temperatura': 26.21, 'Umidade': 57.41, 'Pressao': 1007.66}
Ciclo 260: {'Temperatura': 28.44, 'Umidade': 40.97, 'Pressao': 1016.86}
Ciclo 261: {'Temperatura': 28.38, 'Umidade': 57.01, 'Pressao': 1000.54}
Ciclo 262: {'Temperatura': 20.74, 'Umidade': 59.12, 'Pressao': 1009.26}
Ciclo 263: {'Temperatura': 22.36, 'Umidade': 55.84, 'Pressao': 1004.04}
Ciclo 264: {'Temperatura': 28.2, 'Umidade': 53.25, 'Pressao': 1013.12}
Ciclo 265: {'Temperatura': 22.08, 'Umidade': 41.22, 'Pressao': 1005.73}
Ciclo 266: {'Temperatura': 21.67, 'Umidade': 49.78, 'Pressao': 1013.82}
Ciclo 267: {'Temperatura': 23.7, 'Umidade': 44.47, 'Pressao': 1015.92}
Ciclo 268: {'Temperatura': 24.86, 'Umidade': 49.67, 'Pressao': 1014.18}
Ciclo 269: {'Temperatura': 27.79, 'Umidade': 46.86, 'Pressao': 1008.71}
Ciclo 270: {'Temperatura': 23.02, 'Umidade': 55.83, 'Pressao': 1000.35}
Ciclo 271: {'Temperatura': 27.36, 'Umidade': 43.55, 'Pressao': 1000.36}
Ciclo 272: {'Temperatura': 29.76, 'Umidade': 47.01, 'Pressao': 1018.16}
Ciclo 273: {'Temperatura': 24.11, 'Umidade': 43.17, 'Pressao': 1005.62}
Ciclo 274: {'Temperatura': 21.27, 'Umidade': 53.56, 'Pressao': 1002.73}
Ciclo 275: {'Temperatura': 23.52, 'Umidade': 53.51, 'Pressao': 1003.97}
Ciclo 276: {'Temperatura': 20.97, 'Umidade': 55.16, 'Pressao': 1014.8}
Ciclo 277: {'Temperatura': 24.03, 'Umidade': 46.47, 'Pressao': 1005.96}
Ciclo 278: {'Temperatura': 21.8, 'Umidade': 48.89, 'Pressao': 1000.39}
Ciclo 279: {'Temperatura': 28.45, 'Umidade': 50.7, 'Pressao': 1009.5}
Ciclo 280: {'Temperatura': 25.22, 'Umidade': 46.49, 'Pressao': 1005.01}
Ciclo 281: {'Temperatura': 24.24, 'Umidade': 53.75, 'Pressao': 1003.47}
Ciclo 282: {'Temperatura': 21.42, 'Umidade': 40.44, 'Pressao': 1003.92}
Ciclo 283: {'Temperatura': 22.92, 'Umidade': 50.63, 'Pressao': 1004.11}
Ciclo 284: {'Temperatura': 22.24, 'Umidade': 51.23, 'Pressao': 1010.08}
Ciclo 285: {'Temperatura': 20.53, 'Umidade': 45.85, 'Pressao': 1014.67}
Ciclo 286: {'Temperatura': 29.68, 'Umidade': 53.54, 'Pressao': 1010.45}
Ciclo 287: {'Temperatura': 28.91, 'Umidade': 44.27, 'Pressao': 1012.12}
Ciclo 288: {'Temperatura': 24.38, 'Umidade': 54.21, 'Pressao': 1019.2}
Ciclo 289: {'Temperatura': 26.08, 'Umidade': 41.54, 'Pressao': 1000.55}
Ciclo 290: {'Temperatura': 28.72, 'Umidade': 42.94, 'Pressao': 1002.88}
Ciclo 291: {'Temperatura': 28.06, 'Umidade': 51.43, 'Pressao': 1003.67}
Ciclo 292: {'Temperatura': 27.03, 'Umidade': 55.63, 'Pressao': 1010.45}
Ciclo 293: {'Temperatura': 21.15, 'Umidade': 51.81, 'Pressao': 1002.87}
Ciclo 294: {'Temperatura': 27.13, 'Umidade': 55.02, 'Pressao': 1007.86}
Ciclo 295: {'Temperatura': 24.86, 'Umidade': 40.88, 'Pressao': 1007.97}
Ciclo 296: {'Temperatura': 29.32, 'Umidade': 52.29, 'Pressao': 1011.19}
